C:\Users\ZhouXunZhe\PycharmProjects\K-nn\venv\Scripts\python.exe C:/Users/ZhouXunZhe/PycharmProjects/K-nn/test.py
0 numbers imported
2000 numbers imported
4000 numbers imported
6000 numbers imported
8000 numbers imported
10000 numbers imported
12000 numbers imported
14000 numbers imported
16000 numbers imported
18000 numbers imported
20000 numbers imported
22000 numbers imported
24000 numbers imported
26000 numbers imported
28000 numbers imported
30000 numbers imported
32000 numbers imported
34000 numbers imported
36000 numbers imported
38000 numbers imported
40000 numbers imported
42000 numbers imported
44000 numbers imported
46000 numbers imported
48000 numbers imported
50000 numbers imported
52000 numbers imported
54000 numbers imported
56000 numbers imported
58000 numbers imported
59999 numbers imported
0 numbers imported
2000 numbers imported
4000 numbers imported
6000 numbers imported
8000 numbers imported
9999 numbers imported
the NO.0 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.1 classifier came back with: 2, the real answer is: 2, error count is: 0
the NO.2 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.3 classifier came back with: 0, the real answer is: 0, error count is: 0
the NO.4 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.5 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.6 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.7 classifier came back with: 9, the real answer is: 9, error count is: 0
the NO.8 classifier came back with: 5, the real answer is: 5, error count is: 0
the NO.9 classifier came back with: 9, the real answer is: 9, error count is: 0
the NO.10 classifier came back with: 0, the real answer is: 0, error count is: 0
the NO.11 classifier came back with: 6, the real answer is: 6, error count is: 0
the NO.12 classifier came back with: 9, the real answer is: 9, error count is: 0
the NO.13 classifier came back with: 0, the real answer is: 0, error count is: 0
the NO.14 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.15 classifier came back with: 5, the real answer is: 5, error count is: 0
the NO.16 classifier came back with: 9, the real answer is: 9, error count is: 0
the NO.17 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.18 classifier came back with: 3, the real answer is: 3, error count is: 0
the NO.19 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.20 classifier came back with: 9, the real answer is: 9, error count is: 0
the NO.21 classifier came back with: 6, the real answer is: 6, error count is: 0
the NO.22 classifier came back with: 6, the real answer is: 6, error count is: 0
the NO.23 classifier came back with: 5, the real answer is: 5, error count is: 0
the NO.24 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.25 classifier came back with: 0, the real answer is: 0, error count is: 0
the NO.26 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.27 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.28 classifier came back with: 0, the real answer is: 0, error count is: 0
the NO.29 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.30 classifier came back with: 3, the real answer is: 3, error count is: 0
the NO.31 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.32 classifier came back with: 3, the real answer is: 3, error count is: 0
the NO.33 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.34 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.35 classifier came back with: 2, the real answer is: 2, error count is: 0
the NO.36 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.37 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.38 classifier came back with: 2, the real answer is: 2, error count is: 0
the NO.39 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.40 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.41 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.42 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.43 classifier came back with: 2, the real answer is: 2, error count is: 0
the NO.44 classifier came back with: 3, the real answer is: 3, error count is: 0
the NO.45 classifier came back with: 5, the real answer is: 5, error count is: 0
the NO.46 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.47 classifier came back with: 2, the real answer is: 2, error count is: 0
the NO.48 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.49 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.50 classifier came back with: 6, the real answer is: 6, error count is: 0
the NO.51 classifier came back with: 3, the real answer is: 3, error count is: 0
