date,open,high,low,close,volume
2022-07-05,100.72,100.72,100.72,100.72,100000
2022-07-06,100.72,100.72,100.72,100.72,100000
2022-12-15,99.37,99.37,99.37,99.37,100000
2022-12-19,99.37,99.37,99.37,99.37,100000
2023-03-17,100.289,100.289,100.289,100.289,100000
2023-03-20,100.289,100.289,100.289,100.289,100000
2023-04-13,100.295,100.295,100.295,100.295,200000
2023-04-14,100.295,100.295,100.295,100.295,200000
2023-04-19,100.31,100.31,100.31,100.31,10000
2023-04-20,100.31,100.31,100.31,100.31,10000
2023-05-10,100.56,100.56,100.56,100.56,100000
2023-05-12,100.53,100.53,100.53,100.53,50000
2023-05-15,100.53,100.53,100.53,100.53,50000
2023-06-16,100.686,100.686,100.686,100.686,50000
2023-06-19,100.686,100.686,100.686,100.686,50000
2023-07-20,100.766,100.766,100.766,100.766,10000
2023-07-21,100.766,100.766,100.766,100.766,10000
2023-07-25,100.767,100.767,100.767,100.767,50000
2023-07-26,100.767,100.767,100.767,100.767,50000
2023-08-03,100.666,100.666,100.666,100.666,20000
2023-08-04,100.666,100.666,100.666,100.666,10000
2023-08-11,100.666,100.666,100.666,100.666,10000
2023-08-14,100.76,100.76,100.76,100.76,10000
2023-08-15,100.76,100.76,100.76,100.76,10000
2023-09-12,100.509,100.509,100.509,100.509,100000
2023-09-15,100.56,100.56,100.56,100.56,10000
2023-09-18,100.56,100.56,100.56,100.56,10000
2023-09-21,100.56,100.56,100.56,100.56,25000
2023-09-26,100.56,100.56,100.56,100.56,25000
2023-10-09,100.51,100.51,100.51,100.51,10000
2023-10-10,100.51,100.51,100.51,100.51,10000
2023-10-23,100.365,100.365,100.365,100.365,40000
2023-10-24,100.365,100.365,100.365,100.365,40000
2023-10-25,100.343,100.343,100.343,100.343,10000
2023-10-27,100.343,100.343,100.343,100.343,10000
2023-11-09,100.36,100.36,100.36,100.36,30000
2023-11-10,100.36,100.36,100.36,100.36,30000
2023-11-22,100.363,100.363,100.363,100.363,300000
2023-12-04,100.238,100.238,100.238,100.238,300000
2024-01-22,100.45,100.45,100.45,100.45,28000
2024-01-26,100.45,100.45,100.45,100.45,22000
2024-05-07,100.45,100.45,100.45,100.45,20000
