date,open,high,low,close,volume
2014-09-25,141.422,141.482,141.367,141.436,3074983
2014-09-26,141.46,141.602,141.437,141.539,2947182
2014-09-29,141.612,141.706,141.589,141.652,3554510
2014-09-30,141.676,141.938,141.663,141.938,3391950
2014-10-08,142.133,142.133,142.008,142.076,3000228
2014-10-09,142.099,142.192,142.093,142.184,2901631
2014-10-10,142.208,142.315,142.185,142.305,2078298
2014-10-13,142.376,142.377,142.179,142.363,1899262
2014-10-14,142.387,142.423,142.322,142.395,3673165
2014-10-15,142.402,142.552,142.351,142.548,5526189
2014-10-16,142.572,142.741,142.563,142.74,4236559
2014-10-17,142.763,142.889,142.755,142.887,3158995
2014-10-20,142.957,143.04,142.866,143.011,2784361
2014-10-21,143.035,143.134,143.004,143.134,2367720
2014-10-22,143.153,143.209,143.109,143.183,2146584
2014-10-23,143.207,143.207,143.109,143.186,4126772
2014-10-24,143.208,143.25,143.167,143.207,3617940
2014-10-27,143.28,143.317,143.203,143.317,3708859
2014-10-28,143.344,143.55,143.299,143.504,3909117
2014-10-29,143.528,143.634,143.528,143.632,5512683
2014-10-30,143.659,143.791,143.605,143.784,4150146
2014-10-31,143.778,143.938,143.778,143.938,3677127
2014-11-03,144.011,144.046,143.978,144.044,3665169
2014-11-04,144.067,144.167,143.984,144.164,3211160
2014-11-05,144.188,144.322,144.134,144.318,3313186
2014-11-06,144.346,144.468,144.252,144.466,5557928
2014-11-07,144.49,144.594,144.447,144.594,3820090
2014-11-10,144.663,144.763,144.597,144.753,4837088
2014-11-11,144.777,144.87,144.729,144.87,3728898
2014-11-12,144.893,144.982,144.733,144.784,2854120
2014-11-13,144.807,144.961,144.748,144.797,2690369
2014-11-14,144.822,144.871,144.652,144.72,3721257
2014-11-17,144.792,144.873,144.655,144.793,2938216
2014-11-18,144.817,144.832,144.722,144.762,2825164
2014-11-19,144.787,144.802,144.684,144.71,4275307
2014-11-20,144.734,144.741,144.622,144.713,2412892
2014-11-21,144.738,144.777,144.663,144.703,2256416
2014-11-24,144.783,144.865,144.597,144.706,3482206
2014-11-25,144.731,144.765,144.603,144.76,2293105
2014-11-26,144.784,144.787,144.644,144.733,2315276
2014-11-27,144.76,144.911,144.76,144.911,3715830
2014-11-28,144.935,145.124,144.876,145.045,4219350
2014-12-01,145.118,145.124,145.031,145.114,2310594
2014-12-02,145.138,145.156,144.99,145.024,2102820
2014-12-03,145.064,145.068,144.875,145.017,2650501
2014-12-04,145.041,145.049,144.786,144.835,3178500
2014-12-05,144.859,144.859,144.613,144.682,4003471
2014-12-08,144.761,144.761,144.468,144.612,3279219
2014-12-09,144.619,144.619,143.013,143.106,4304231
2014-12-10,143.129,143.445,143.129,143.35,4386552
2014-12-11,143.373,143.493,143.314,143.483,4389379
2014-12-12,143.508,143.548,143.435,143.462,5807952
2014-12-15,143.533,143.579,143.113,143.343,4345158
2014-12-16,143.367,143.385,143.011,143.198,2959069
2014-12-17,143.22,143.289,143.039,143.154,4395295
2014-12-18,143.177,143.291,143.124,143.245,2974778
2014-12-19,143.269,143.317,143.146,143.313,2748373
2014-12-22,143.386,143.448,143.309,143.438,4837365
2014-12-23,143.461,143.609,143.435,143.558,2816405
2014-12-24,143.586,143.773,143.527,143.772,2828804
2014-12-25,143.796,143.884,143.776,143.883,1974326
2014-12-26,143.907,144.111,143.725,144.111,2362999
2014-12-29,144.183,144.203,144.063,144.119,4507186
2014-12-30,144.143,144.187,144.068,144.178,2429133
2014-12-31,144.205,144.385,144.169,144.296,1971745
2015-01-05,144.416,144.581,144.396,144.567,1186147
2015-01-06,144.59,144.59,144.383,144.558,1606745
2015-01-07,144.587,144.646,144.536,144.634,1876903
2015-01-08,144.658,144.668,144.569,144.655,3233971
2015-01-09,144.679,144.84,144.579,144.663,1685016
2015-01-12,144.736,144.849,144.713,144.849,2865552
2015-01-13,144.873,144.929,144.802,144.874,2044914
2015-01-14,144.898,144.957,144.874,144.957,3271849
2015-01-15,144.981,145.0,144.925,144.995,1655586
2015-01-16,145.019,145.078,144.954,145.066,3894600
2015-01-19,145.139,145.271,145.088,145.271,2067733
2015-01-20,145.296,145.461,145.258,145.46,4165210
2015-01-21,145.482,145.546,145.424,145.538,4268724
2015-01-22,145.563,145.617,145.467,145.568,3510257
2015-01-23,145.592,145.644,145.557,145.603,2386934
2015-01-26,145.676,145.8,145.588,145.8,1760345
2015-01-27,145.825,145.936,145.82,145.877,2500212
2015-01-28,145.901,145.978,145.82,145.977,2267133
2015-01-29,146.002,146.016,145.942,146.016,1852843
2015-01-30,146.04,146.08,145.969,146.048,1473754
2015-02-02,146.119,146.16,146.046,146.083,984314
2015-02-03,146.107,146.128,145.96,146.116,1745117
2015-02-04,146.141,146.186,146.125,146.178,2584889
2015-02-05,146.204,146.23,146.139,146.188,2117343
2015-02-06,146.212,146.298,146.135,146.298,2775409
2015-02-09,146.369,146.369,146.17,146.271,2494879
2015-02-10,146.296,146.324,146.196,146.234,2241927
2015-02-11,146.259,146.322,146.233,146.293,2519078
2015-02-12,146.313,146.403,146.302,146.401,4084865
2015-02-13,146.427,146.608,146.411,146.606,4825564
2015-02-16,146.679,146.75,146.665,146.739,4254580
2015-02-17,146.763,146.826,146.694,146.823,1750875
2015-02-25,147.031,147.073,146.957,147.025,3065472
2015-02-26,147.05,147.203,147.034,147.203,3795826
2015-02-27,147.228,147.295,147.215,147.295,4473783
2015-03-02,147.368,147.407,147.29,147.345,4529276
2015-03-03,147.366,147.55,147.323,147.374,6627247
2015-03-04,147.398,147.504,147.348,147.491,3595881
2015-03-05,147.516,147.596,147.497,147.542,3300773
2015-03-06,147.566,147.611,147.525,147.603,2739835
2015-03-09,147.677,147.693,147.58,147.646,1632668
2015-03-10,147.67,147.694,147.576,147.654,3282319
2015-03-11,147.678,147.692,147.601,147.673,3110381
2015-03-12,147.698,147.809,147.624,147.772,2282982
2015-03-13,147.798,147.886,147.74,147.886,3334788
2015-03-16,147.944,147.969,147.883,147.965,3263891
2015-03-17,147.989,148.059,147.941,147.954,6194366
2015-03-18,147.979,148.304,147.95,148.1,3067184
2015-03-19,148.123,148.123,147.971,148.092,2413180
2015-03-20,148.116,148.155,148.076,148.081,2668377
2015-03-23,148.153,148.154,148.055,148.056,3321411
2015-03-24,148.08,148.1,147.919,148.033,2994118
2015-03-25,148.057,148.077,147.945,148.077,1900721
2015-03-26,148.08,148.114,147.999,148.095,3042117
2015-03-27,148.134,148.139,147.996,148.03,2848115
2015-03-30,148.104,148.105,148.059,148.065,1731850
2015-03-31,148.09,148.09,147.927,147.941,1769663
2015-04-01,147.964,148.03,147.859,148.005,1614207
2015-04-02,148.03,148.069,147.987,148.001,2530960
2015-04-03,148.026,148.026,147.852,147.921,2749034
2015-04-07,148.02,148.037,147.962,147.979,3144253
2015-04-08,148.004,148.005,147.907,147.997,3325978
2015-04-09,148.023,148.067,147.988,148.053,2343977
2015-04-10,148.077,148.08,147.981,148.054,2923388
2015-04-13,148.128,148.134,148.003,148.092,2450886
2015-04-14,148.117,148.128,148.054,148.121,2613236
2015-04-15,148.145,148.296,148.14,148.181,3402861
2015-04-16,148.205,148.438,148.19,148.423,2729571
2015-04-17,148.465,148.533,148.28,148.366,12839748
2015-04-20,148.441,148.55,148.365,148.546,6513094
2015-04-21,148.571,148.713,148.552,148.713,8526172
2015-04-22,148.736,148.823,148.729,148.817,3737552
2015-04-23,148.887,148.9,148.812,148.847,2828081
2015-04-24,148.869,148.872,148.754,148.841,940579
2015-04-27,148.918,148.964,148.867,148.962,2721931
2015-04-28,148.987,149.009,148.899,148.907,2282977
2015-04-29,148.932,149.098,148.906,149.095,1657477
2015-04-30,149.12,149.247,149.032,149.134,1350029
2015-05-04,149.233,149.352,149.049,149.319,1611207
2015-05-05,149.331,149.355,149.079,149.103,2056107
2015-05-06,149.127,149.253,149.08,149.253,2866169
2015-05-07,149.276,149.379,149.154,149.293,1755195
2015-05-08,149.317,149.563,149.219,149.563,1885291
2015-05-11,149.641,149.676,149.446,149.657,2671498
2015-05-12,149.682,149.735,149.501,149.614,2410464
2015-05-13,149.639,149.831,149.592,149.831,3042442
2015-05-14,149.855,150.091,149.827,150.091,1902089
2015-05-15,150.116,150.173,150.011,150.173,1786792
2015-05-18,150.234,150.465,150.141,150.465,4363511
2015-05-19,150.49,150.578,150.371,150.504,1355977
2015-05-20,150.529,150.678,150.456,150.67,2471836
2015-05-21,150.694,150.786,150.583,150.775,643814
2015-05-22,150.799,150.981,150.768,150.981,2386868
2015-05-25,151.055,151.065,150.842,150.898,1479469
2015-05-26,150.923,150.941,150.767,150.84,1419818
2015-05-27,150.865,151.058,150.835,151.056,1755603
2015-05-28,151.077,151.077,150.965,151.023,1751800
2015-05-29,151.048,151.073,151.024,151.066,1231904
2015-06-01,151.14,151.147,151.046,151.079,2393447
2015-06-02,151.111,151.114,150.958,150.98,3111854
2015-06-03,151.005,151.126,150.978,151.032,1690100
2015-06-04,151.057,151.153,151.006,151.148,721847
2015-06-05,151.173,151.231,150.818,151.157,1990059
2015-06-08,151.234,151.294,150.997,151.1,2680104
2015-06-09,151.125,151.125,150.938,151.098,3979070
2015-06-10,151.123,151.164,150.974,151.063,2214283
2015-06-11,151.088,151.106,150.937,151.009,2795069
2015-06-12,151.033,151.08,150.882,150.975,1657593
2015-06-15,151.05,151.11,150.94,151.035,2416998
2015-06-16,151.06,151.085,150.78,150.99,3482841
2015-06-17,151.015,151.033,150.785,150.953,1347723
2015-06-18,150.906,150.948,150.743,150.914,2630207
2015-06-19,150.939,150.939,150.807,150.856,1734316
2015-06-23,150.955,150.987,150.883,150.897,2919302
2015-06-24,150.922,151.188,150.914,151.187,2868348
2015-06-25,151.199,151.229,151.106,151.106,2447968
2015-06-26,151.131,151.141,151.025,151.068,1933126
2015-06-29,151.142,151.167,151.056,151.167,1478894
2015-06-30,151.191,151.191,151.084,151.135,2486758
2015-07-01,151.16,151.252,151.045,151.197,1665599
2015-07-02,151.222,151.237,151.109,151.168,1808233
2015-07-03,151.192,151.195,151.072,151.115,1712666
2015-07-06,151.188,151.257,151.103,151.249,2126026
2015-07-07,151.274,151.361,151.21,151.357,2319676
2015-07-08,151.382,151.382,151.091,151.25,4852688
2015-07-09,151.275,151.292,151.141,151.292,4844054
2015-07-10,151.316,151.53,151.283,151.529,3920277
2015-07-13,151.604,151.635,151.47,151.498,3234972
2015-07-14,151.523,151.559,151.363,151.545,3617225
2015-07-15,151.561,151.591,151.444,151.589,4244136
2015-07-16,151.614,151.669,151.547,151.628,4463715
2015-07-17,151.653,151.714,151.512,151.714,2153078
2015-07-20,151.788,151.881,151.743,151.881,2811959
2015-07-21,151.904,151.994,151.897,151.942,4675597
2015-07-22,151.943,151.962,151.858,151.912,2541193
2015-07-23,151.931,152.165,151.923,152.165,2643372
2015-07-24,152.19,152.288,152.15,152.288,1618526
2015-07-27,152.362,152.462,152.325,152.462,2089411
2015-07-28,152.487,152.541,152.416,152.463,2063306
2015-07-29,152.488,152.604,152.473,152.604,3154034
2015-07-30,152.629,152.679,152.551,152.578,2339037
2015-07-31,152.603,152.699,152.593,152.695,3497024
2015-08-03,152.769,152.821,152.749,152.805,3419919
2015-08-04,152.83,152.935,152.799,152.935,4670920
2015-08-05,152.96,153.127,152.958,153.127,4236151
2015-08-06,153.152,153.325,153.13,153.302,3821155
2015-08-07,153.327,153.457,153.295,153.457,4861412
2015-08-10,153.531,153.537,153.285,153.501,5410050
2015-08-11,153.526,153.533,153.447,153.509,3621411
2015-08-12,153.534,153.539,153.479,153.522,3098468
2015-08-13,153.547,153.557,153.466,153.518,2163399
2015-08-14,153.543,153.721,153.536,153.688,1883070
2015-08-17,153.762,153.941,153.734,153.893,6482157
2015-08-18,153.918,154.011,153.886,154.001,1620844
2015-08-19,154.026,154.114,154.023,154.067,5344632
2015-08-20,154.092,154.199,153.976,154.198,3130447
2015-08-21,154.223,154.223,154.149,154.206,2694937
2015-08-24,154.28,154.38,154.181,154.212,3840980
2015-08-25,154.236,154.261,154.151,154.231,2565263
2015-08-26,154.267,154.384,154.081,154.249,3379045
2015-08-27,154.274,154.323,154.193,154.239,3811699
2015-08-28,154.264,154.274,154.072,154.224,1569386
2015-08-31,154.299,154.406,154.267,154.367,3942824
2015-09-01,154.392,154.519,154.384,154.519,3632684
2015-09-02,154.544,154.573,154.447,154.513,1944262
2015-09-07,154.635,154.677,154.601,154.666,2317791
2015-09-08,154.69,154.842,154.684,154.791,3765898
2015-09-09,154.816,154.932,154.807,154.918,3055621
2015-09-10,154.942,154.968,154.863,154.968,2235278
2015-09-11,154.993,155.062,154.959,155.038,2171495
2015-09-14,155.113,155.141,155.099,155.105,2154614
2015-09-15,155.129,155.235,155.055,155.065,2375140
2015-09-16,155.089,155.192,155.06,155.191,2598760
2015-09-17,155.216,155.381,155.193,155.296,2289285
2015-09-18,155.321,155.455,155.318,155.439,3326279
2015-09-21,155.514,155.591,155.489,155.523,1767744
2015-09-22,155.548,155.625,155.438,155.446,4327038
2015-09-23,155.471,155.482,155.417,155.479,2752600
2015-09-24,155.499,155.539,155.455,155.539,3294923
2015-09-25,155.564,155.577,155.497,155.534,2529028
2015-09-28,155.609,155.61,155.545,155.59,5296061
2015-09-29,155.615,155.615,155.482,155.595,2835224
2015-09-30,155.62,155.666,155.611,155.617,701550
2015-10-08,155.815,155.838,155.62,155.828,1687174
2015-10-09,155.853,155.853,155.727,155.75,690991
2015-10-12,155.824,155.83,155.735,155.755,2172644
2015-10-13,155.78,155.881,155.768,155.83,2301014
2015-10-14,155.855,155.883,155.812,155.855,3825387
2015-10-15,155.879,155.885,155.848,155.884,1173439
2015-10-16,155.908,155.912,155.844,155.894,2296399
2015-10-19,155.969,155.969,155.818,155.931,1699526
2015-10-20,155.955,155.955,155.883,155.919,3024886
2015-10-21,155.943,155.967,155.894,155.967,2507895
2015-10-22,155.992,156.0,155.86,155.987,2009811
2015-10-23,156.012,156.161,155.961,156.159,1914238
2015-10-26,156.234,156.292,156.191,156.292,3068367
2015-10-27,156.317,156.369,156.307,156.352,4264613
2015-10-28,156.377,156.423,156.348,156.423,7784044
2015-10-29,156.442,156.483,156.437,156.475,2233764
2015-10-30,156.5,156.525,156.449,156.512,2799243
2015-11-02,156.586,156.671,156.563,156.657,3339081
2015-11-03,156.681,156.693,156.659,156.69,2208386
2015-11-04,156.715,156.717,156.626,156.63,1939556
2015-11-05,156.655,156.663,156.622,156.663,2657004
2015-11-06,156.688,156.693,156.603,156.625,1534178
2015-11-09,156.699,156.706,156.597,156.608,1186914
2015-11-10,156.632,156.635,156.594,156.609,1442238
2015-11-11,156.633,156.637,156.551,156.57,1702908
2015-11-12,156.595,156.596,156.453,156.495,2785082
2015-11-13,156.52,156.534,156.372,156.428,3898378
2015-11-16,156.503,156.503,156.415,156.432,3328703
2015-11-17,156.457,156.489,156.359,156.362,2623515
2015-11-18,156.387,156.387,156.291,156.326,3179714
2015-11-19,156.351,156.354,156.081,156.216,9509161
2015-11-20,156.241,156.247,156.068,156.245,6702471
2015-11-23,156.32,156.505,156.131,156.207,3248561
2015-11-24,156.231,156.255,156.155,156.23,4667734
2015-11-25,156.255,156.255,156.021,156.176,3031545
2015-11-26,156.197,156.198,156.145,156.193,6292972
2015-11-27,156.218,156.241,156.165,156.19,4097305
2015-11-30,156.264,156.293,156.209,156.259,4993189
2015-12-01,156.283,156.351,156.263,156.35,4871382
2015-12-02,156.373,156.39,156.288,156.385,6683643
2015-12-03,156.41,156.462,156.393,156.393,5705418
2015-12-04,156.417,156.524,156.376,156.524,2362471
2015-12-07,156.598,156.624,156.53,156.544,4820118
2015-12-08,156.568,156.576,156.544,156.568,4850280
2015-12-09,156.593,156.626,156.572,156.621,1591432
2015-12-10,156.645,156.645,156.603,156.634,5013089
2015-12-11,156.658,156.658,156.58,156.631,6503241
2015-12-14,156.705,156.738,156.674,156.721,3690391
2015-12-15,156.746,156.779,156.725,156.779,3947945
2015-12-16,156.803,156.826,156.701,156.824,4210419
