date,open,high,low,close,volume
2015-08-05,1.0,1.004,1.0,1.0,146425
2015-08-06,1.0,1.005,1.0,1.003,319800
2015-08-07,1.003,1.003,1.001,1.002,5200
2015-08-10,1.0,1.02,1.0,1.008,111968
2015-08-11,1.008,1.008,1.002,1.002,321877
2015-08-12,1.005,1.005,1.0,1.004,43200
2015-08-13,1.0,1.005,1.0,1.001,153277
2015-08-14,1.0,1.001,1.0,1.0,97700
2015-08-17,1.0,1.005,1.0,1.0,114400
2015-08-18,1.0,1.001,1.0,1.0,111462
2015-08-19,1.0,1.005,1.0,1.0,451555
2015-08-20,1.0,1.002,1.0,1.002,206526
2015-08-21,1.0,1.009,1.0,1.004,60700
2015-08-24,1.0,1.004,1.0,1.004,706511
2015-08-25,1.0,1.004,1.0,1.0,230159
2015-08-26,1.0,1.002,1.0,1.0,32323
2015-08-27,1.0,1.0,1.0,1.0,197809
2015-08-28,1.001,1.005,1.001,1.005,170634
2015-08-31,1.002,1.005,1.002,1.005,573387
2015-09-01,1.002,1.004,1.001,1.003,82804
2015-09-02,1.003,1.009,1.001,1.001,10900
2015-09-07,1.008,1.008,1.001,1.007,25600
2015-09-08,1.0,1.007,1.0,1.007,4400
2015-09-09,1.001,1.008,1.001,1.008,74755
2015-09-10,1.002,1.008,1.0,1.008,61288
2015-09-11,1.001,1.001,1.001,1.001,34943
2015-09-14,1.001,1.001,1.0,1.0,34931
2015-09-15,1.0,1.0,0.999,0.999,24700
2015-09-16,0.999,1.002,0.999,1.002,39653
2015-09-17,1.003,1.003,0.996,0.996,60039
2015-09-21,0.998,0.998,0.997,0.997,20000
2015-09-22,0.998,1.008,0.998,1.001,1200
2015-09-23,0.998,0.998,0.998,0.998,49543
2015-09-24,0.999,1.004,0.998,1.004,1800
2015-09-25,0.975,0.999,0.975,0.999,500
2015-09-28,0.978,1.006,0.978,1.005,24900
2015-09-29,0.995,0.998,0.995,0.998,16800
2015-09-30,0.999,1.0,0.999,1.0,10800
2015-10-08,1.0,1.02,0.987,1.005,136233
2015-10-09,0.998,1.005,0.997,1.005,83188
2015-10-12,0.999,1.012,0.999,1.01,312366
2015-10-13,1.002,1.007,1.001,1.001,41500
2015-10-14,1.01,1.088,1.001,1.08,585231
2015-10-15,1.077,1.188,1.025,1.173,1044822
2015-10-16,1.057,1.278,1.057,1.233,948933
2015-10-19,1.11,1.19,1.11,1.11,614600
2015-10-20,1.019,1.092,1.0,1.012,2373169
2015-10-21,1.01,1.014,0.996,1.0,1611178
2015-10-22,1.0,1.009,0.997,1.003,2451012
2015-10-23,1.001,1.004,0.995,0.999,2556113
