date,open,high,low,close,volume
2016-08-19,0.999,0.999,0.958,0.962,16248544
2016-08-22,0.962,0.963,0.956,0.961,10252820
2016-08-23,0.961,0.97,0.961,0.966,11699265
2016-08-24,0.966,0.971,0.966,0.968,7370319
2016-08-25,0.968,0.968,0.962,0.965,8786057
2016-08-26,0.965,0.966,0.962,0.962,7644595
2016-08-29,0.962,0.964,0.958,0.959,7805866
2016-08-30,0.958,0.96,0.957,0.958,5699922
2016-08-31,0.959,0.961,0.957,0.958,3870769
2016-09-01,0.958,0.958,0.956,0.956,2935953
2016-09-02,0.958,0.958,0.953,0.956,4453337
2016-09-05,0.957,0.963,0.954,0.962,7925335
2016-09-06,0.961,0.962,0.96,0.961,4996921
2016-09-07,0.961,0.969,0.96,0.96,4280901
2016-09-08,0.96,0.962,0.96,0.962,2749686
2016-09-09,0.96,0.964,0.96,0.96,2027813
2016-09-12,0.959,0.959,0.954,0.954,5815634
2016-09-13,0.954,0.956,0.954,0.955,2115661
2016-09-14,0.954,0.955,0.951,0.952,1371923
2016-09-19,0.951,0.953,0.951,0.952,2856586
2016-09-20,0.952,0.953,0.949,0.95,3811130
2016-09-21,0.95,0.952,0.948,0.949,5973734
2016-09-22,0.949,0.951,0.949,0.95,2910507
2016-09-23,0.95,0.951,0.949,0.95,2015501
2016-09-26,0.95,0.95,0.943,0.945,6124179
2016-09-27,0.942,0.947,0.942,0.943,1784038
2016-09-28,0.943,0.944,0.939,0.94,4223397
2016-09-29,0.94,0.944,0.939,0.942,3702674
2016-09-30,0.942,0.943,0.939,0.943,2279726
2016-10-10,0.943,0.947,0.943,0.947,3979750
2016-10-11,0.945,0.949,0.945,0.947,4106062
2016-10-12,0.947,0.948,0.946,0.948,3547570
2016-10-13,0.947,0.95,0.946,0.95,4292085
2016-10-14,0.949,0.951,0.948,0.95,3353972
2016-10-17,0.95,0.953,0.946,0.949,3092206
2016-10-18,0.949,0.954,0.949,0.952,5441534
2016-10-19,0.952,0.97,0.952,0.955,17328256
