date,open,high,low,close,volume,hold,settle
2023-10-23,5383.4,5383.4,5176.0,5210.4,7292,6926,0.0
2023-10-24,5241.4,5294.8,5205.6,5249.8,8624,11379,0.0
2023-10-25,5307.6,5346.4,5281.8,5287.0,5994,13957,0.0
2023-10-26,5273.0,5330.0,5257.0,5308.0,5647,16082,0.0
2023-10-27,5295.2,5457.0,5292.6,5423.0,6612,18963,0.0
2023-10-30,5419.6,5504.6,5412.0,5471.0,6259,20739,0.0
2023-10-31,5466.0,5483.4,5425.6,5453.0,3750,21548,0.0
2023-11-01,5468.4,5468.4,5415.2,5442.0,3777,21441,0.0
2023-11-02,5449.0,5465.0,5390.2,5401.2,3325,22024,0.0
2023-11-03,5402.2,5492.6,5402.2,5449.0,4229,23122,0.0
2023-11-06,5478.8,5554.8,5478.8,5538.6,3560,23728,0.0
2023-11-07,5532.0,5575.4,5515.0,5541.6,3856,24520,0.0
2023-11-08,5535.0,5565.8,5503.6,5531.6,5136,26257,0.0
2023-11-09,5533.2,5571.4,5500.2,5516.0,5895,28139,0.0
2023-11-10,5499.8,5499.8,5466.6,5487.6,6180,29946,0.0
2023-11-13,5495.8,5514.6,5462.2,5501.2,5551,31666,0.0
2023-11-14,5500.0,5539.8,5491.6,5518.2,6576,34249,0.0
2023-11-15,5575.0,5587.6,5522.6,5542.6,6876,36558,0.0
2023-11-16,5528.4,5536.8,5486.2,5494.8,6777,39096,0.0
2023-11-17,5471.6,5508.4,5471.4,5496.4,6436,39877,0.0
2023-11-20,5500.2,5537.0,5458.4,5530.0,6780,41424,0.0
2023-11-21,5537.4,5570.0,5491.4,5503.2,5456,41466,0.0
2023-11-22,5493.8,5513.4,5447.4,5457.6,5729,43055,0.0
2023-11-23,5455.0,5523.4,5422.6,5516.6,6330,43519,0.0
2023-11-24,5509.8,5509.8,5434.0,5460.8,5458,44035,0.0
2023-11-27,5460.4,5467.0,5410.0,5446.8,5607,44102,0.0
2023-11-28,5440.0,5467.8,5390.0,5457.2,6454,46565,0.0
2023-11-29,5455.6,5460.6,5397.4,5427.8,5746,47623,0.0
2023-11-30,5419.4,5424.0,5355.0,5393.0,7945,48882,0.0
2023-12-01,5382.0,5407.6,5337.6,5386.2,10188,50775,0.0
2023-12-04,5391.4,5405.8,5358.8,5362.8,7828,52772,0.0
2023-12-05,5354.4,5354.4,5251.6,5262.6,11081,55885,0.0
2023-12-06,5256.6,5314.4,5240.0,5281.2,11337,58699,0.0
2023-12-07,5278.0,5342.8,5223.2,5332.6,12702,62680,0.0
2023-12-08,5335.0,5391.0,5329.6,5355.6,12187,64753,0.0
2023-12-11,5328.2,5446.8,5293.8,5418.8,12646,67712,0.0
2023-12-12,5418.8,5434.4,5396.0,5425.0,11002,71121,0.0
2023-12-13,5410.2,5411.6,5347.0,5356.6,10936,75174,0.0
2023-12-14,5385.2,5410.4,5331.2,5344.0,10842,78414,0.0
2023-12-15,5355.2,5383.4,5294.2,5321.8,10325,79485,0.0
2023-12-18,5303.0,5327.2,5270.4,5296.2,7765,79865,0.0
2023-12-19,5296.2,5301.8,5253.0,5280.0,8408,79244,0.0
2023-12-20,5282.6,5293.0,5219.8,5235.2,6731,78883,0.0
2023-12-21,5213.8,5270.0,5172.8,5248.0,8779,79542,0.0
2023-12-22,5247.8,5276.8,5200.0,5238.8,7948,79478,0.0
2023-12-25,5227.8,5269.8,5209.0,5229.8,4976,79439,0.0
2023-12-26,5229.8,5231.0,5158.4,5190.8,8028,80443,0.0
2023-12-27,5199.0,5209.0,5150.2,5194.0,6355,79985,0.0
2023-12-28,5196.0,5316.6,5181.0,5301.2,7162,80380,0.0
2023-12-29,5298.6,5372.6,5296.8,5349.6,8913,81147,0.0
2024-01-02,5356.2,5358.4,5316.0,5318.8,5279,80363,0.0
2024-01-03,5312.0,5343.2,5278.8,5304.6,7291,81768,0.0
2024-01-04,5300.0,5302.0,5214.8,5258.0,9613,82574,0.0
2024-01-05,5243.0,5267.2,5157.2,5187.2,10857,84712,0.0
2024-01-08,5172.4,5176.0,4997.2,5010.2,13716,84544,0.0
2024-01-09,5014.0,5089.6,5000.0,5029.8,13188,86292,0.0
2024-01-10,5012.8,5080.0,4958.8,5018.4,10778,86159,0.0
2024-01-11,5018.0,5131.2,5004.0,5090.2,10440,87626,0.0
2024-01-12,5080.0,5136.0,5070.2,5070.6,8186,87533,0.0
2024-01-15,5055.0,5110.6,5029.2,5053.6,8451,88365,0.0
2024-01-16,5050.0,5071.0,4973.0,5045.6,11512,91705,0.0
2024-01-17,5039.8,5039.8,4830.0,4843.4,12976,93459,0.0
2024-01-18,4823.4,4876.0,4665.2,4866.8,26051,96879,0.0
2024-01-19,4857.8,4878.8,4800.0,4833.2,18911,97401,0.0
2024-01-22,4820.0,4831.8,4388.0,4466.6,27397,97687,0.0
2024-01-23,4463.2,4717.6,4431.2,4667.8,24636,95482,0.0
2024-01-24,4690.2,4763.0,4532.0,4752.2,23707,95568,0.0
2024-01-25,4752.2,4948.0,4711.6,4946.0,22415,95640,0.0
2024-01-26,4929.4,4942.0,4839.6,4865.4,16940,93857,0.0
2024-01-29,4879.0,4902.0,4748.4,4762.6,15793,92832,0.0
2024-01-30,4727.8,4772.4,4598.6,4613.8,16387,92205,0.0
2024-01-31,4586.2,4644.0,4491.2,4499.0,23579,91523,0.0
2024-02-01,4480.8,4613.4,4438.8,4488.0,20163,89037,0.0
2024-02-02,4509.0,4558.6,4158.8,4338.8,29313,90445,0.0
2024-02-05,4290.6,4389.0,4018.6,4154.0,36372,87390,0.0
2024-02-06,4120.0,4687.8,4120.0,4687.8,39661,90057,0.0
2024-02-07,4702.0,5075.0,4701.8,5062.0,69835,95682,0.0
2024-02-08,5115.6,5375.0,5001.0,5030.4,67799,93425,0.0
2024-02-19,5128.2,5155.0,4927.0,4998.8,31503,92457,0.0
2024-02-20,4997.8,5036.0,4950.0,5011.8,27537,89758,0.0
2024-02-21,4980.4,5179.0,4973.8,5033.0,34649,91735,0.0
2024-02-22,5027.4,5101.0,5018.4,5081.8,25414,87910,0.0
2024-02-23,5100.0,5116.8,5012.4,5107.0,25077,88405,0.0
2024-02-26,5095.0,5168.2,5062.0,5087.0,26423,87387,0.0
