date,open,high,low,close,volume,hold,settle
2024-01-22,3220.0,3220.0,3050.4,3109.0,6382,5842,0.0
2024-01-23,3106.8,3174.8,3105.0,3152.0,6097,6520,0.0
2024-01-24,3180.0,3209.8,3111.0,3209.6,5689,8608,0.0
2024-01-25,3215.0,3291.4,3200.0,3282.0,6592,10232,0.0
2024-01-26,3272.0,3301.6,3272.0,3277.6,5569,12026,0.0
2024-01-29,3292.0,3309.2,3233.2,3236.6,6527,13779,0.0
2024-01-30,3213.4,3235.0,3175.0,3176.0,5942,14592,0.0
2024-01-31,3169.8,3189.0,3130.0,3144.0,6661,15585,0.0
2024-02-01,3133.0,3184.8,3119.0,3145.6,6120,16633,0.0
2024-02-02,3153.4,3165.2,3010.0,3099.8,8498,18575,0.0
2024-02-05,3073.2,3112.8,3000.0,3063.6,9011,19487,0.0
2024-02-06,3040.2,3228.6,3040.2,3226.0,9667,21718,0.0
2024-02-07,3230.2,3272.2,3215.0,3247.2,11745,25200,0.0
2024-02-08,3274.6,3400.0,3265.2,3289.0,10989,27074,0.0
2024-02-19,3324.4,3331.8,3288.8,3316.2,9511,29179,0.0
2024-02-20,3308.0,3331.0,3301.6,3324.4,8741,29938,0.0
2024-02-21,3310.2,3451.8,3309.8,3398.4,14042,33105,0.0
2024-02-22,3396.4,3428.0,3396.4,3427.8,9168,33947,0.0
2024-02-23,3430.2,3448.8,3416.6,3436.0,7579,34266,0.0
2024-02-26,3438.6,3438.6,3392.2,3393.6,8789,36730,0.0
2024-02-27,3384.8,3445.6,3381.6,3444.8,8156,37619,0.0
2024-02-28,3450.2,3477.2,3399.4,3401.8,11032,39428,0.0
2024-02-29,3399.4,3470.2,3399.0,3467.8,9361,39713,0.0
2024-03-01,3466.0,3498.8,3459.0,3490.2,10066,42535,0.0
2024-03-04,3491.2,3500.0,3466.6,3472.4,11774,40997,0.0
2024-03-05,3456.0,3487.6,3450.4,3475.2,9993,40932,0.0
2024-03-06,3468.0,3514.0,3466.0,3475.0,10712,42023,0.0
2024-03-07,3475.0,3499.0,3453.2,3456.0,8713,42134,0.0
2024-03-08,3460.2,3474.4,3442.2,3466.4,7305,42538,0.0
2024-03-11,3467.0,3506.0,3460.0,3503.0,7914,43142,0.0
2024-03-12,3508.8,3532.8,3503.0,3526.0,9793,44490,0.0
2024-03-13,3525.0,3528.0,3500.0,3508.6,7068,44531,0.0
2024-03-14,3509.0,3534.0,3483.0,3500.8,9120,46637,0.0
2024-03-15,3500.0,3513.2,3475.6,3512.8,8999,48079,0.0
2024-03-18,3518.0,3543.0,3511.4,3540.8,9092,49162,0.0
2024-03-19,3535.0,3549.8,3513.2,3517.8,7834,48974,0.0
2024-03-20,3511.8,3529.8,3508.8,3521.6,6646,49172,0.0
2024-03-21,3532.2,3544.2,3516.0,3520.8,7422,49840,0.0
2024-03-22,3517.6,3517.8,3457.2,3470.6,10340,51826,0.0
2024-03-25,3467.0,3492.8,3450.0,3457.6,8070,50492,0.0
2024-03-26,3465.8,3483.6,3455.4,3473.6,8606,50358,0.0
2024-03-27,3468.8,3476.2,3434.0,3435.4,7687,50287,0.0
2024-03-28,3430.0,3488.6,3423.6,3451.8,10728,51373,0.0
2024-03-29,3454.0,3472.8,3446.8,3467.6,6136,50080,0.0
2024-04-01,3490.6,3542.0,3483.6,3532.6,8930,50469,0.0
2024-04-02,3530.0,3537.6,3514.2,3526.0,7338,50643,0.0
2024-04-03,3523.4,3526.4,3501.4,3509.0,6233,51255,0.0
2024-04-08,3497.2,3502.0,3468.0,3473.0,7480,51654,0.0
2024-04-09,3475.0,3482.0,3461.0,3472.4,5859,51262,0.0
2024-04-10,3472.2,3472.2,3427.0,3445.4,7218,52230,0.0
2024-04-11,3430.0,3463.8,3425.2,3443.8,7419,52130,0.0
2024-04-12,3443.8,3454.2,3398.8,3409.2,7775,53084,0.0
2024-04-15,3417.6,3493.8,3412.8,3478.0,13564,54674,0.0
2024-04-16,3462.4,3478.6,3433.2,3443.0,10830,54522,0.0
2024-04-17,3446.4,3506.0,3433.2,3501.2,11308,55233,0.0
2024-04-18,3499.0,3544.8,3492.0,3513.4,12589,57228,0.0
2024-04-19,3509.0,3512.0,3476.8,3488.4,12387,59204,0.0
2024-04-22,3491.0,3512.4,3477.0,3482.8,10490,60567,0.0
2024-04-23,3480.6,3491.6,3451.6,3459.2,10321,62684,0.0
2024-04-24,3472.0,3479.6,3450.0,3475.0,9341,64007,0.0
2024-04-25,3460.8,3498.0,3456.2,3481.0,9781,64381,0.0
2024-04-26,3489.8,3546.6,3489.8,3538.2,13644,65941,0.0
2024-04-29,3549.0,3614.8,3543.4,3593.8,17108,69768,0.0
2024-04-30,3593.2,3601.8,3562.2,3564.8,11683,70545,0.0
2024-05-06,3618.0,3636.0,3602.8,3611.2,12243,71658,0.0
2024-05-07,3610.8,3623.0,3605.0,3612.0,8418,72498,0.0
2024-05-08,3608.2,3608.8,3576.4,3579.0,9400,73064,0.0
