date,open,high,low,close,volume,hold,settle
2023-10-23,5679.6,5679.6,5469.0,5514.0,5752,5554,0.0
2023-10-24,5542.4,5618.2,5485.4,5580.4,8259,10260,0.0
2023-10-25,5630.4,5683.6,5620.0,5630.6,6424,13086,0.0
2023-10-26,5610.6,5686.0,5588.0,5667.4,4483,14638,0.0
2023-10-27,5651.0,5823.0,5635.6,5806.0,6742,17900,0.0
2023-10-30,5785.0,5897.2,5785.0,5877.8,4750,18706,0.0
2023-10-31,5870.0,5883.0,5810.0,5846.8,4622,20700,0.0
2023-11-01,5857.8,5864.8,5811.8,5836.6,3032,21036,0.0
2023-11-02,5847.6,5869.0,5774.4,5776.2,3777,22807,0.0
2023-11-03,5791.6,5899.6,5787.6,5865.2,5136,23380,0.0
2023-11-06,5900.0,5999.0,5900.0,5989.0,4164,24735,0.0
2023-11-07,5985.2,6022.2,5958.2,5996.4,3824,25234,0.0
2023-11-08,5992.8,6034.4,5966.8,6004.0,3993,25943,0.0
2023-11-09,5992.8,6036.0,5945.0,5967.6,5225,26997,0.0
2023-11-10,5940.2,5954.0,5909.2,5947.0,5335,28301,0.0
2023-11-13,5967.8,5982.4,5930.0,5979.0,4895,29328,0.0
2023-11-14,5984.4,6026.0,5960.6,5998.2,6326,31247,0.0
2023-11-15,6041.2,6055.8,5990.0,6019.6,6827,32454,0.0
2023-11-16,5997.2,6007.6,5941.2,5949.2,5181,34001,0.0
2023-11-17,5935.0,5998.4,5927.2,5997.4,6108,35469,0.0
2023-11-20,6006.0,6049.8,5957.4,6049.0,6852,36534,0.0
2023-11-21,6055.0,6070.6,5990.0,6001.8,4810,36572,0.0
2023-11-22,5985.0,6031.0,5936.6,5943.2,5087,36971,0.0
2023-11-23,5939.4,6036.8,5918.0,6035.0,6836,37985,0.0
2023-11-24,6023.0,6023.0,5922.8,5942.4,6485,38509,0.0
2023-11-27,5942.0,5958.0,5868.0,5921.0,9225,41247,0.0
2023-11-28,5902.8,5944.6,5856.4,5931.4,6514,41470,0.0
2023-11-29,5931.4,5940.0,5880.6,5903.6,4813,42002,0.0
2023-11-30,5899.6,5904.2,5810.0,5847.6,6275,43363,0.0
2023-12-01,5847.4,5912.6,5822.6,5894.4,7391,44787,0.0
2023-12-04,5896.2,5907.0,5852.0,5852.6,6489,45573,0.0
2023-12-05,5845.2,5845.2,5704.0,5718.6,9189,48592,0.0
2023-12-06,5705.2,5790.8,5688.0,5753.4,7980,49066,0.0
2023-12-07,5753.4,5852.8,5701.0,5830.0,11702,53528,0.0
2023-12-08,5832.0,5904.0,5810.2,5823.8,12665,56544,0.0
2023-12-11,5800.0,5914.2,5755.4,5886.4,10098,58017,0.0
2023-12-12,5874.4,5898.0,5858.6,5898.0,9284,61347,0.0
2023-12-13,5885.0,5891.2,5811.2,5825.4,8027,61857,0.0
2023-12-14,5841.0,5883.6,5793.0,5805.6,7869,63077,0.0
2023-12-15,5818.6,5846.4,5727.2,5758.8,8981,64451,0.0
2023-12-18,5738.8,5756.0,5670.0,5693.0,6603,64837,0.0
2023-12-19,5691.8,5722.0,5661.8,5708.0,7172,65611,0.0
2023-12-20,5720.2,5724.8,5607.2,5616.0,7841,66660,0.0
2023-12-21,5598.0,5658.2,5526.0,5637.0,11155,69287,0.0
2023-12-22,5636.8,5656.0,5561.6,5586.0,10064,69146,0.0
2023-12-25,5585.6,5617.0,5550.0,5571.0,7237,69424,0.0
2023-12-26,5563.0,5565.0,5476.0,5493.0,9381,70834,0.0
2023-12-27,5503.2,5536.4,5469.8,5525.6,7649,70532,0.0
2023-12-28,5511.2,5671.2,5493.4,5667.4,11766,72172,0.0
2023-12-29,5664.8,5779.6,5660.0,5764.2,11728,72257,0.0
2024-01-02,5766.8,5774.0,5702.0,5706.4,7700,71596,0.0
2024-01-03,5703.0,5724.2,5635.0,5676.0,9711,72047,0.0
2024-01-04,5666.0,5667.6,5577.6,5628.8,10106,71942,0.0
2024-01-05,5622.6,5637.8,5497.8,5519.0,11038,73565,0.0
2024-01-08,5497.4,5501.0,5296.0,5317.0,15975,75184,0.0
2024-01-09,5320.0,5429.8,5303.4,5341.8,15408,75104,0.0
2024-01-10,5320.0,5401.2,5247.4,5315.4,13264,74686,0.0
2024-01-11,5315.4,5492.0,5307.8,5446.8,16338,75532,0.0
2024-01-12,5426.0,5476.8,5385.4,5388.0,12722,76022,0.0
