date,open,high,low,close,volume,hold,settle
2023-09-11,100.94,101.075,100.94,101.07,200,108,0.0
2023-09-12,101.195,101.245,101.065,101.125,538,341,0.0
2023-09-13,101.16,101.335,101.145,101.29,853,720,0.0
2023-09-14,101.29,101.44,101.25,101.42,595,963,0.0
2023-09-15,101.38,101.38,101.175,101.18,366,1086,0.0
2023-09-18,101.07,101.07,100.945,101.025,212,1069,0.0
2023-09-19,101.035,101.11,101.0,101.035,291,1084,0.0
2023-09-20,101.02,101.095,100.985,101.06,162,1130,0.0
2023-09-21,101.085,101.225,101.05,101.19,209,1177,0.0
2023-09-22,101.17,101.195,100.96,100.96,280,1318,0.0
2023-09-25,101.035,101.045,100.8,100.85,199,1320,0.0
2023-09-26,100.81,100.935,100.78,100.915,172,1258,0.0
2023-09-27,100.94,100.995,100.85,100.925,147,1225,0.0
2023-09-28,100.965,101.115,100.935,101.115,113,1222,0.0
2023-10-09,101.07,101.16,101.07,101.085,82,1241,0.0
2023-10-10,100.985,101.035,100.965,101.01,55,1275,0.0
2023-10-11,100.95,100.95,100.77,100.775,131,1288,0.0
2023-10-12,100.69,100.83,100.67,100.8,182,1318,0.0
2023-10-13,100.85,100.93,100.825,100.91,55,1314,0.0
2023-10-16,100.96,100.98,100.865,100.94,193,1350,0.0
2023-10-17,100.86,100.865,100.76,100.775,148,1400,0.0
2023-10-18,100.795,100.84,100.735,100.755,137,1396,0.0
2023-10-19,100.71,100.71,100.42,100.42,328,1460,0.0
2023-10-20,100.55,100.65,100.365,100.635,347,1504,0.0
2023-10-23,100.65,100.79,100.65,100.74,377,1450,0.0
2023-10-24,100.64,100.685,100.53,100.66,406,1523,0.0
2023-10-25,100.72,100.885,100.495,100.875,444,1542,0.0
2023-10-26,100.84,100.985,100.84,100.895,286,1537,0.0
2023-10-27,100.91,100.965,100.84,100.88,151,1566,0.0
2023-10-30,100.94,101.0,100.925,100.96,111,1547,0.0
2023-10-31,100.99,101.24,100.99,101.23,386,1657,0.0
2023-11-01,101.21,101.36,101.205,101.3,349,1706,0.0
2023-11-02,101.39,101.475,101.36,101.475,238,1772,0.0
2023-11-03,101.43,101.45,101.36,101.435,384,1874,0.0
2023-11-06,101.455,101.475,101.36,101.425,300,1900,0.0
2023-11-07,101.49,101.495,101.38,101.4,162,1927,0.0
2023-11-08,101.38,101.58,101.335,101.53,413,1951,0.0
2023-11-09,101.51,101.59,101.51,101.545,263,1969,0.0
2023-11-10,101.585,101.645,101.5,101.63,244,2068,0.0
2023-11-13,101.61,101.71,101.59,101.69,485,2128,0.0
2023-11-14,101.67,101.685,101.505,101.565,448,2265,0.0
2023-11-15,101.53,101.605,101.48,101.565,491,2390,0.0
2023-11-16,101.6,101.77,101.585,101.745,635,2363,0.0
2023-11-17,101.73,101.91,101.7,101.89,480,2516,0.0
2023-11-20,101.88,101.88,101.75,101.815,1112,2934,0.0
2023-11-21,101.805,101.855,101.745,101.77,498,3050,0.0
2023-11-22,101.855,101.855,101.675,101.7,1627,3653,0.0
2023-11-23,101.59,101.625,101.5,101.505,3331,5590,0.0
2023-11-24,101.515,101.65,101.515,101.545,2282,6448,0.0
2023-11-27,101.5,101.635,101.48,101.48,4525,8976,0.0
2023-11-28,101.57,101.74,101.57,101.725,1589,9566,0.0
2023-11-29,101.69,101.88,101.67,101.855,1523,10003,0.0
2023-11-30,101.905,101.95,101.815,101.825,1637,10432,0.0
2023-12-01,101.82,101.9,101.805,101.855,1465,10522,0.0
2023-12-04,101.865,101.895,101.71,101.765,1725,10716,0.0
2023-12-05,101.76,101.855,101.695,101.83,1789,10658,0.0
2023-12-06,101.82,101.85,101.755,101.79,1496,10760,0.0
2023-12-07,101.795,101.895,101.685,101.87,2063,10958,0.0
2023-12-08,101.85,101.92,101.845,101.86,1682,11094,0.0
2023-12-11,102.005,102.105,101.995,102.07,3379,11282,0.0
2023-12-12,102.06,102.12,102.03,102.055,2460,11541,0.0
2023-12-13,102.14,102.38,102.14,102.335,2447,11755,0.0
2023-12-14,102.3,102.415,102.2,102.205,5121,11552,0.0
2023-12-15,102.215,102.36,102.195,102.34,5524,11811,0.0
2023-12-18,102.39,102.455,102.31,102.34,3557,12045,0.0
2023-12-19,102.32,102.405,102.265,102.39,2935,12231,0.0
2023-12-20,102.355,102.43,102.32,102.33,2953,12579,0.0
2023-12-21,102.33,102.53,102.265,102.455,3305,12663,0.0
2023-12-22,102.6,102.645,102.535,102.55,4433,12704,0.0
2023-12-25,102.54,102.775,102.505,102.73,4684,12971,0.0
2023-12-26,102.71,102.84,102.665,102.7,4964,13398,0.0
2023-12-27,102.745,102.81,102.66,102.8,4285,13934,0.0
2023-12-28,102.86,102.935,102.63,102.68,6175,14151,0.0
2023-12-29,102.68,102.775,102.645,102.74,3867,14173,0.0
2024-01-02,102.8,102.85,102.585,102.595,4699,14915,0.0
2024-01-03,102.565,102.67,102.48,102.66,5149,15161,0.0
2024-01-04,102.66,102.77,102.66,102.69,3460,15585,0.0
2024-01-05,102.76,102.96,102.73,102.885,5929,16698,0.0
2024-01-08,102.895,102.94,102.835,102.88,6208,18223,0.0
2024-01-09,102.95,103.055,102.95,103.035,5925,18762,0.0
2024-01-10,102.995,103.015,102.915,102.915,5162,19502,0.0
2024-01-11,102.86,103.0,102.825,102.905,7514,19024,0.0
2024-01-12,102.865,102.89,102.72,102.735,5981,19429,0.0
2024-01-15,102.6,102.81,102.595,102.775,7024,20550,0.0
2024-01-16,102.75,102.78,102.695,102.71,5529,21536,0.0
2024-01-17,102.71,102.85,102.71,102.84,5570,21424,0.0
2024-01-18,102.885,102.91,102.755,102.775,4307,21442,0.0
2024-01-19,102.805,102.92,102.79,102.91,3619,21715,0.0
