date,open,high,low,close,volume,hold,settle
2023-09-11,101.425,101.44,101.34,101.43,202,109,0.0
2023-09-12,101.57,101.595,101.475,101.49,881,333,0.0
2023-09-13,101.515,101.63,101.505,101.585,150,405,0.0
2023-09-14,101.585,101.735,101.57,101.735,1098,544,0.0
2023-09-15,101.695,101.7,101.565,101.565,378,630,0.0
2023-09-18,101.55,101.55,101.375,101.435,171,672,0.0
2023-09-19,101.42,101.46,101.405,101.425,296,710,0.0
2023-09-20,101.405,101.485,101.395,101.445,251,844,0.0
2023-09-21,101.455,101.57,101.455,101.55,252,932,0.0
2023-09-22,101.515,101.515,101.39,101.405,152,990,0.0
2023-09-25,101.435,101.435,101.28,101.31,131,1024,0.0
2023-09-26,101.31,101.365,101.265,101.365,79,1018,0.0
2023-09-27,101.385,101.41,101.335,101.395,178,1084,0.0
2023-09-28,101.44,101.52,101.435,101.515,205,1115,0.0
2023-10-09,101.545,101.56,101.49,101.5,296,1248,0.0
2023-10-10,101.47,101.47,101.375,101.41,223,1251,0.0
2023-10-11,101.345,101.345,101.205,101.21,206,1270,0.0
2023-10-12,101.125,101.3,101.125,101.29,173,1320,0.0
2023-10-13,101.31,101.415,101.31,101.37,389,1538,0.0
2023-10-16,101.405,101.435,101.335,101.405,308,1630,0.0
2023-10-17,101.335,101.345,101.275,101.3,125,1643,0.0
2023-10-18,101.325,101.34,101.24,101.24,86,1648,0.0
2023-10-19,101.215,101.215,101.035,101.04,270,1639,0.0
2023-10-20,101.11,101.215,100.99,101.16,300,1687,0.0
2023-10-23,101.265,101.345,101.235,101.335,283,1675,0.0
2023-10-24,101.275,101.275,101.16,101.26,251,1679,0.0
2023-10-25,101.275,101.465,101.16,101.45,343,1685,0.0
2023-10-26,101.475,101.535,101.44,101.46,215,1681,0.0
2023-10-27,101.46,101.49,101.385,101.415,163,1700,0.0
2023-10-30,101.455,101.525,101.435,101.48,114,1720,0.0
2023-10-31,101.52,101.66,101.52,101.615,254,1685,0.0
2023-11-01,101.61,101.655,101.54,101.605,89,1716,0.0
2023-11-02,101.665,101.735,101.655,101.735,149,1703,0.0
2023-11-03,101.715,101.73,101.67,101.705,95,1705,0.0
2023-11-06,101.73,101.73,101.65,101.695,79,1700,0.0
2023-11-07,101.735,101.75,101.645,101.66,54,1700,0.0
2023-11-08,101.65,101.765,101.575,101.745,106,1688,0.0
2023-11-09,101.735,101.775,101.735,101.75,31,1699,0.0
2023-11-10,101.73,101.805,101.705,101.74,111,1700,0.0
2023-11-13,101.78,101.91,101.78,101.91,57,1693,0.0
2023-11-14,101.86,101.88,101.775,101.82,255,1766,0.0
2023-11-15,101.81,101.89,101.75,101.795,264,1808,0.0
2023-11-16,101.815,101.915,101.815,101.915,156,1806,0.0
2023-11-17,101.88,101.95,101.85,101.95,237,1898,0.0
2023-11-20,101.905,101.92,101.86,101.92,312,2041,0.0
2023-11-21,101.865,101.91,101.82,101.85,156,2061,0.0
2023-11-22,101.82,101.85,101.74,101.755,705,1921,0.0
2023-11-23,101.555,101.675,101.555,101.62,813,2377,0.0
2023-11-24,101.66,101.705,101.64,101.64,1364,2798,0.0
2023-11-27,101.645,101.705,101.58,101.58,2500,3069,0.0
2023-11-28,101.66,101.72,101.645,101.72,615,2961,0.0
2023-11-29,101.72,101.815,101.67,101.81,363,2974,0.0
2023-11-30,101.815,101.875,101.78,101.805,632,2931,0.0
2023-12-01,101.785,101.85,101.775,101.805,617,2953,0.0
2023-12-04,101.845,101.85,101.7,101.71,1186,3079,0.0
2023-12-05,101.71,101.77,101.655,101.73,1875,3093,0.0
2023-12-06,101.725,101.725,101.595,101.615,1999,3452,0.0
2023-12-07,101.56,101.745,101.56,101.7,1399,3497,0.0
2023-12-08,101.75,101.77,101.7,101.735,868,3390,0.0
2023-12-11,101.79,101.92,101.79,101.895,1697,3357,0.0
2023-12-12,101.9,101.925,101.855,101.895,1074,3311,0.0
2023-12-13,101.995,102.13,101.995,102.115,1805,3523,0.0
