date,open,high,low,close,volume
2022-12-19,19.0,23.8,19.0,22.6,31
2022-12-20,22.6,39.2,22.6,39.2,5
2022-12-22,21.8,24.8,21.8,24.8,2
2022-12-26,24.2,24.2,23.2,23.2,4
2022-12-27,21.4,22.4,20.0,20.0,5
2022-12-28,17.6,20.0,17.6,20.0,3
2022-12-29,20.0,24.2,20.0,21.6,10
2022-12-30,18.0,18.0,18.0,18.0,1
2023-01-03,18.0,21.6,18.0,21.6,3
2023-01-04,15.0,15.0,15.0,15.0,3
2023-01-05,11.2,11.2,10.2,10.2,26
2023-01-06,10.0,10.4,9.6,10.0,31
2023-01-09,8.2,8.2,7.2,7.2,28
2023-01-10,7.8,7.8,7.8,7.8,10
2023-01-11,7.0,7.0,6.4,6.4,2
2023-01-13,5.0,5.0,4.8,4.8,49
2023-01-16,4.0,4.0,2.4,3.6,13
2023-01-17,3.4,3.6,2.6,2.6,8
2023-01-18,3.0,3.0,3.0,3.0,6
2023-01-19,3.8,3.8,2.8,2.8,2
2023-01-20,2.6,3.2,2.6,2.8,15
2023-01-30,1.4,1.4,1.4,1.4,16
2023-01-31,1.0,1.0,1.0,1.0,25
2023-02-01,0.8,1.2,0.8,1.0,26
2023-02-02,2.6,2.6,1.4,1.4,3
2023-02-03,1.0,2.0,1.0,2.0,10
2023-02-06,2.6,3.4,2.6,2.8,103
2023-02-07,2.6,2.8,2.6,2.8,15
2023-02-08,2.2,2.4,2.2,2.4,25
2023-02-09,1.8,1.8,1.8,1.8,1
2023-02-10,1.4,1.4,1.4,1.4,8
2023-02-13,1.0,1.0,1.0,1.0,6
2023-02-14,1.2,1.2,1.2,1.2,2
2023-02-16,1.0,1.2,1.0,1.2,8
2023-02-17,1.2,1.4,1.2,1.4,21
2023-02-20,1.2,1.2,1.2,1.2,12
2023-02-21,0.6,0.6,0.6,0.6,1
2023-02-22,0.4,0.6,0.4,0.6,13
2023-02-24,0.6,0.6,0.6,0.6,1
2023-02-27,0.6,0.6,0.6,0.6,1
2023-02-28,0.6,0.6,0.4,0.4,2
2023-03-03,0.2,0.2,0.2,0.2,12
2023-03-08,0.2,0.4,0.2,0.4,7
2023-03-09,0.2,0.2,0.2,0.2,5
2023-03-10,0.4,0.4,0.4,0.4,1
2023-03-13,0.2,0.4,0.2,0.2,42
2023-03-14,0.4,0.4,0.4,0.4,6
2023-03-15,0.2,0.2,0.2,0.2,14
2023-03-16,0.2,0.2,0.2,0.2,22
2023-03-17,0.2,0.2,0.2,0.2,31
