date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,40.13,40.83,39.99,40.58,1248258.0,26607165.0,180000000.0,0.0069347666666666665
2020-01-03,40.75,40.93,40.11,40.81,1324395.0,28317032.0,180000000.0,0.00735775
2020-01-06,40.74,41.13,40.3,40.6,931822.0,19952976.0,180000000.0,0.005176788888888889
2020-01-07,40.6,40.91,40.51,40.87,895286.0,19178614.0,180000000.0,0.0049738111111111115
2020-01-08,40.75,40.87,39.71,39.9,1446371.0,30650648.0,180000000.0,0.008035394444444444
2020-01-09,40.22,40.7,40.18,40.64,865090.0,18412318.0,180000000.0,0.004806055555555556
2020-01-10,40.64,40.77,40.18,40.47,662542.0,14094712.0,180000000.0,0.003680788888888889
2020-01-13,40.64,40.64,40.09,40.53,755307.0,16041624.0,180000000.0,0.00419615
2020-01-14,40.47,41.02,40.47,40.74,938618.0,20137240.0,180000000.0,0.0052145444444444446
2020-01-15,40.74,40.83,39.9,40.22,747190.0,15825765.0,180000000.0,0.004151055555555555
2020-01-16,40.24,40.43,39.81,39.94,716151.0,15109438.0,180000000.0,0.003978616666666666
2020-01-17,39.94,40.22,39.48,39.67,795942.0,16665952.0,180000000.0,0.0044219
2020-01-20,39.54,40.17,39.54,40.11,751997.0,15756892.0,180000000.0,0.004177761111111111
2020-01-21,40.15,40.28,39.52,39.75,667060.0,13962460.0,180000000.0,0.0037058888888888888
2020-01-22,39.73,39.73,38.89,39.52,983198.0,20310220.0,180000000.0,0.005462211111111111
2020-01-23,39.25,39.5,38.0,38.21,1339600.0,27299571.0,180000000.0,0.0074422222222222225
2020-02-03,34.39,35.55,34.39,34.39,2498740.0,45385510.0,180000000.0,0.013881888888888888
2020-02-04,34.37,35.17,34.2,35.02,1936837.0,35488356.0,180000000.0,0.010760205555555555
2020-02-05,35.04,36.04,34.77,36.04,2040646.0,38238406.0,180000000.0,0.011336922222222223
2020-02-06,36.31,37.79,35.91,37.68,2138193.0,41550065.0,180000000.0,0.01187885
2020-02-07,37.6,38.59,36.94,37.87,2003685.0,39882305.0,180000000.0,0.011131583333333334
2020-02-10,38.11,38.36,37.49,38.32,1591897.0,31821319.0,180000000.0,0.008843872222222222
2020-02-11,38.17,38.38,37.62,37.66,1112833.0,22211737.0,180000000.0,0.006182405555555556
2020-02-12,37.98,38.51,37.72,38.27,1372708.0,27543221.0,180000000.0,0.0076261555555555555
2020-02-13,38.53,40.03,38.29,38.89,2613313.0,54094441.0,180000000.0,0.014518405555555556
2020-02-14,38.95,40.13,38.38,39.52,2194810.0,45249654.0,180000000.0,0.012193388888888889
2020-02-17,40.13,43.45,40.13,42.14,4183700.0,92179505.0,180000000.0,0.02324277777777778
2020-02-18,41.38,41.42,40.18,40.53,3757493.0,80499566.0,180000000.0,0.02087496111111111
2020-02-19,40.26,40.39,39.56,39.56,2191416.0,45962073.0,180000000.0,0.012174533333333333
2020-02-20,39.69,40.15,39.35,39.92,1409123.0,29504200.0,180000000.0,0.007828461111111112
2020-02-21,39.62,40.05,39.56,39.69,1291532.0,27036833.0,180000000.0,0.0071751777777777775
2020-02-24,39.71,40.11,39.43,39.99,1675734.0,35169392.0,180000000.0,0.009309633333333333
2020-02-25,39.08,39.29,38.23,39.01,2088973.0,42820490.0,180000000.0,0.011605405555555556
2020-02-26,38.74,39.94,38.48,38.99,1594119.0,33049850.0,180000000.0,0.008856216666666666
2020-02-27,39.06,39.46,38.65,39.12,1004973.0,20652287.0,180000000.0,0.005583183333333333
2020-02-28,38.36,38.59,37.03,37.24,1476449.0,29439881.0,180000000.0,0.008202494444444444
2020-03-02,37.45,38.65,37.45,38.32,1573245.0,31491893.0,180000000.0,0.00874025
2020-03-03,38.78,39.29,38.57,38.82,1471299.0,30095186.0,180000000.0,0.008173883333333333
2020-03-04,38.82,39.29,38.4,39.27,1146055.0,23390005.0,180000000.0,0.006366972222222223
2020-03-05,39.6,39.79,39.08,39.6,1709356.0,35571388.0,180000000.0,0.009496422222222222
2020-03-06,39.5,40.55,39.5,39.98,2056533.0,43408535.0,180000000.0,0.011425183333333333
2020-03-09,39.33,39.44,38.55,38.57,1786692.0,36649162.0,180000000.0,0.009926066666666667
2020-03-10,38.27,38.97,37.64,38.93,1697071.0,34273492.0,180000000.0,0.009428172222222222
2020-03-11,39.01,39.12,38.3,38.36,960203.0,19620205.0,180000000.0,0.005334461111111111
2020-03-12,38.15,38.15,37.45,37.53,1102845.0,21872160.0,180000000.0,0.006126916666666667
2020-03-13,36.27,36.98,35.7,36.58,1364765.0,26064236.0,180000000.0,0.007582027777777778
2020-03-16,36.86,37.17,35.8,35.85,906019.0,17441253.0,180000000.0,0.005033438888888889
2020-03-17,35.89,36.5,35.17,36.33,892393.0,16882891.0,180000000.0,0.004957738888888889
2020-03-18,36.39,37.37,36.39,36.46,949095.0,18458395.0,180000000.0,0.00527275
2020-03-19,36.42,36.92,35.82,36.77,792478.0,15210998.0,180000000.0,0.004402655555555556
2020-03-20,36.75,37.22,36.56,37.09,641600.0,12480474.0,180000000.0,0.0035644444444444443
2020-03-23,36.14,36.84,35.89,36.27,539023.0,10322299.0,180000000.0,0.0029945722222222224
2020-03-24,36.82,37.01,36.18,37.01,567035.0,10970979.0,180000000.0,0.0031501944444444446
2020-03-25,37.43,37.6,37.03,37.34,800500.0,15712046.0,180000000.0,0.004447222222222222
2020-03-26,37.13,37.39,36.9,37.09,494188.0,9658311.0,180000000.0,0.002745488888888889
2020-03-27,37.39,37.47,37.03,37.07,626239.0,12291708.0,180000000.0,0.0034791055555555557
2020-03-30,36.94,36.94,36.25,36.65,608853.0,11714985.0,180000000.0,0.0033825166666666667
2020-03-31,36.84,37.6,36.84,37.32,970839.0,19033863.0,180000000.0,0.00539355
2020-04-01,36.86,37.36,36.54,36.61,546820.0,10645034.0,180000000.0,0.003037888888888889
2020-04-02,36.77,37.13,36.27,37.11,546520.0,10548333.0,180000000.0,0.0030362222222222223
2020-04-03,37.22,37.34,36.65,36.79,522940.0,10195620.0,180000000.0,0.0029052222222222222
